Book Title:,,,,,,,,,,,,,,,,,,,,,
Total Pages:,,,,,,,,,,,,,,,,,,,,,
Total Days:,,,,,,,,,,,,,,,,,,,,,
Avg Pages / Day:,,,,,,,,,,,,,,,,,,,,,
Schedule Start:,,,,,,,,,,,,,,,,,,,,,
Schedule End:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day #,Date,Plan Name,Day of Week,Book,Chapter or Section,Verse Range,Verses,Pages,Page Range,Plan #,Chapter (English),Segment Span,Chanting Guide,Chanting Guide(Sinhala),Chanting Guide(Bengali),Pali Word of the day,Pali Word of the day(Sinhali),Pali Word of the day(Bengali),notification title,notification body ,notification button text
1,14 May,"Days 1-6
Compendium of Phenomena - The Matrix",Fri,Dhammasaṅgaṇīpāḷi,1. Tikamātikā,1–22,22,3,2–4,1,Triplet Matrix,5-28,,,,,,,,,
2,15 May,,Sat,Dhammasaṅgaṇīpāḷi,2. Dukamātikā,1–29,29,4,5–8,,Couplet Matrix,29-62,,,,,,,,,
3,16 May,,Sun,Dhammasaṅgaṇīpāḷi,2. Dukamātikā,30–54,25,3,9–11,,Couplet Matrix,63-101,,,,,,,,,
4,17 May,,Mon,Dhammasaṅgaṇīpāḷi,2. Dukamātikā,55–82,28,3,12–14,,Couplet Matrix,102-135,,,,,,,,,
5,18 May,,Tue,Dhammasaṅgaṇīpāḷi,2. Dukamātikā,83–109,27,3,15–17,,Couplet Matrix,136-166,,,,,,,,,
6,19 May,,Wed,Dhammasaṅgaṇīpāḷi,2. Dukamātikā,110–139,30,3,18–20,,Couplet Matrix,167-201,,,,,,,,,
7,20 May,"""Days 7-37
Compendium of Phenomena - Conciousness""",Thu,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,1–26,26,4,21–24,2,Section on the Arising of Consciousness,202-217,,,,,,,,,
8,21 May,,Fri,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,27–57,31,4,25–28,,Section on the Arising of Consciousness,218-263,,,,,,,,,
9,22 May,,Sat,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,58–88,31,4,29–32,,Section on the Arising of Consciousness,264-289,,,,,,,,,
10,23 May,,Sun,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,89–120,32,4,33–36,,Section on the Arising of Consciousness,290-337,,,,,,,,,
11,24 May,,Mon,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,121–150,30,4,37–40,,Section on the Arising of Consciousness,338-373,,,,,,,,,
12,25 May,,Tue,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,151–163,13,4,41–44,,Section on the Arising of Consciousness,374-394,,,,,,,,,
13,26 May,,Wed,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,164–176,13,4,45–48,,Section on the Arising of Consciousness,395-409,,,,,,,,,
14,27 May,,Thu,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,177–201,25,4,49–52,,Section on the Arising of Consciousness,410-440,,,,,,,,,
15,28 May,,Fri,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,202–220,19,4,53–56,,Section on the Arising of Consciousness,,,,,,,,,,
16,29 May,,Sat,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,221–239,19,4,57–60,,Section on the Arising of Consciousness,,,,,,,,,,
17,30 May,,Sun,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,240–262,23,4,61–64,,Section on the Arising of Consciousness,,,,,,,,,,
18,31 May,,Mon,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,263–276,14,4,65–68,,Section on the Arising of Consciousness,,,,,,,,,,
19,1 Jun,,Tue,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,277–303,27,4,69–72,,Section on the Arising of Consciousness,,,,,,,,,,
20,2 Jun,,Wed,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,304–334,31,4,73–76,,Section on the Arising of Consciousness,,,,,,,,,,
21,3 Jun,,Thu,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,335–353,19,4,77–80,,Section on the Arising of Consciousness,,,,,,,,,,
22,4 Jun,,Fri,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,354–364,11,3,81–83,,Section on the Arising of Consciousness,,,,,,,,,,
23,5 Jun,,Sat,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,365–387,23,3,84–86,,Section on the Arising of Consciousness,,,,,,,,,,
24,6 Jun,,Sun,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,388–403,16,3,87–89,,Section on the Arising of Consciousness,,,,,,,,,,
25,7 Jun,,Mon,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,404–419,16,3,90–92,,Section on the Arising of Consciousness,,,,,,,,,,
26,8 Jun,,Tue,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,420–432,13,3,93–95,,Section on the Arising of Consciousness,,,,,,,,,,
27,9 Jun,,Wed,Dhammasaṅgaṇīpāḷi,1. Cittuppādakaṇḍaṃ,433–454,22,3,96–98,,Section on the Arising of Consciousness,,,,,,,,,,
