source_token,source_lemma,target_rendering,block_id
kusalā,kusala-NOM.PL.M,কুশল,1-0a-1
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-1
akusalā,akusala-NOM.PL.M,অকুশল,1-0a-1
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-1
abyākatā,abyākata-NOM.PL.M,অপ্রকাশিত,1-0a-1
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-1
sukhāya,sukha-INSTR.SG.F,সুখ,1-0a-2
vedanāya,vedanā-INSTR.SG.F,অনুভূতি,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,সংযুক্ত,1-0a-2
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-2
dukkhāya,dukkha-INSTR.SG.F,দুঃখ,1-0a-2
vedanāya,vedanā-INSTR.SG.F,অনুভূতি,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,সংযুক্ত,1-0a-2
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-2
adukkhamasukhāya,adukkhamasukha-INSTR.SG.F,অদুঃখাসুখ,1-0a-2
vedanāya,vedanā-INSTR.SG.F,অনুভূতি,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,সংযুক্ত,1-0a-2
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-2
vipākā,vipāka-NOM.PL.M,ফলানুরূপ,1-0a-3
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-3
vipākadhammadhammā,vipāka+dhamma+dhamma-NOM.PL.M,ফলপ্রকৃতি-ধর্ম,1-0a-3
nevavipākanavipākadhammadhammā,neva+vipāka+na+vipāka+dhamma+dhamma-NOM.PL.M,না-ফলানুরূপ-না-ফলপ্রকৃতি-ধর্ম,1-0a-3
upādiṇṇupādāniyā,upādiṇṇupādāniyā,উপাদিন্ন-উপাদানীয়,1-0a-4
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-4
anupādiṇṇupādāniyā,anupādiṇṇupādāniyā,অনুপাদিন্ন-উপাদানীয়,1-0a-4
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-4
anupādiṇṇaanupādāniyā,anupādiṇṇaanupādāniyā,অনুপাদিন্ন-অনুপাদানীয়,1-0a-4
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-4
saṃkiliṭṭhasaṃkilesikā,saṃkiliṭṭhasaṃkilesikā,ক্লেশযুক্ত-ক্লেশকর,1-0a-5
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-5
asaṃkiliṭṭhasaṃkilesikā,asaṃkiliṭṭhasaṃkilesikā,অক্লেশযুক্ত-ক্লেশকর,1-0a-5
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-5
asaṃkiliṭṭhaasaṃkilesikā,asaṃkiliṭṭhaasaṃkilesikā,অক্লেশযুক্ত-অক্লেশকর,1-0a-5
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-5
savitakkasavicārā,sa+vitakka+sa+vicāra-NOM.PL.M,সবিতর্ক-সবিচার,1-0a-6
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-6
avitakkavicāramattā,a+vitakka+vicāra+matta-NOM.PL.M,অবিতর্ক-বিচারমাত্র,1-0a-6
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-6
avitakkaavicārā,a+vitakka+a+vicāra-NOM.PL.M,অবিতর্ক-অবিচার,1-0a-6
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-6
pītisahagatā,pīti+sahagata-NOM.PL.M,প্রীতিসহগত,1-0a-7
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-7
sukhasahagatā,sukha+sahagata-NOM.PL.M,সুখসহগত,1-0a-7
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-7
upekkhāsahagatā,upekkhā+sahagata-NOM.PL.M,উপেক্ষাসহগত,1-0a-7
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-7
dassanena,dassana-INSTR.SG.N,দর্শন,1-0a-8
pahātabbā,pahātabba-NOM.PL.M,প্রহাতব্য,1-0a-8
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-8
bhāvanāya,bhāvanā-INSTR.SG.F,ভাবনা,1-0a-8
pahātabbā,pahātabba-NOM.PL.M,প্রহাতব্য,1-0a-8
dhammā,dhamma-NOM.PL.M,ধর্ম,1-0a-8
neva,neva-NEG,নহে,1-0a-8
