source_lemma,target_rendering,frequency_blocks,frequency_tokens,lemma_total_blocks,distinct_renderings_for_lemma,sample_block_ids
",",nutriment_of_consciousness.,1,,3,3,1-70
",",skandha_of_synergies,1,,3,3,1-119
",","skandha_of_synergies,",1,,3,3,1-123
?,Which,1,1,1,1,1-63
abhiniropanā,right_disposing,4,4,4,1,1-21; 1-7; 1-84; 1-91
abhippasādo,sense_of_assurance,4,4,4,1,1-12; 1-25; 1-75; 1-96
abyākatā,indeterminate,1,1,1,1,1-0a-1
abyāpajjo,spleen,3,3,3,1,1-105; 1-33; 1-36
abyāpādo,absence_of_malice,5,,6,2,1-105; 1-114; 1-33; 1-36; 1-62
abyāpādo,"is,",1,,6,2,1-1
acetasikā,are_not_such,1,1,1,1,1-0b-57
adandhanatā,absence_of_sluggishness,2,2,2,1,1-42; 1-43
adhivacanapathā,processes_of_such,1,1,1,1,1-0b-106
adhivacanā,equivalent_terms,1,1,1,1,1-0b-106
adoso,absence_of_hate,5,,6,2,1-105; 1-114; 1-33; 1-36; 1-62
adoso,"is,",1,,6,2,1-1
"adoso,","absence_of_hate,",2,2,2,1,1-103; 1-131
adukkhamasukhāya,neutral,1,1,1,1,1-0a-2
adussanā,hating,3,3,3,1,1-105; 1-33; 1-36
adussitattaṃ,hatred,3,3,3,1,1-105; 1-33; 1-36
aganthaniyā,are_not_so,1,1,1,1,1-0b-27
aguttadvāratā,immoderation_in_diet,1,1,1,1,1-0b-127
ahetukā,not_so_concomitant,1,1,1,1,1-0b-2
ahetukāpi,not_so_concomitant,1,1,1,1,1-0b-6
ahirikañca,Unconscientiousness_and,1,1,1,1,1-0b-115
ajimhatā,without_deflection,2,2,2,1,1-50; 1-51
ajjavo,Upright_and,1,1,1,1,1-0b-124
ajjhattabahiddhā,belonging_or_external_to_one's_self,1,1,1,1,1-0a-20
ajjhattabahiddhārammaṇā,an_object_that_is_both,1,1,1,1,1-0a-21
ajjhattikā,one's_own,1,1,1,1,1-0b-66
ajjhattā,belong_to_one's_self,1,1,1,1,1-0a-20
ajjhattārammaṇā,have_for_an_object_one's_self,1,1,1,1,1-0a-21
akakkhaḷatā,smoothness,2,2,2,1,1-44; 1-45
akathinatā,absence_of_rigidity,2,2,2,1,1-44; 1-45
akusalā,bad,1,1,1,1,1-0a-1
akuṭilatā,or_crookedness,2,2,2,1,1-50; 1-51
alobho,disinterestedness,4,,6,5,1-104; 1-114; 1-32; 1-62
alobho,absence_of_greed,3,,6,5,1-104; 1-32; 1-35
alobho,root_of_good,3,,6,5,1-104; 1-32; 1-35
alobho,is.,2,,6,5,1-104; 1-32
alobho,"is,",1,,6,5,1-1
"Alobho,","Disinterestedness,",2,2,2,1,1-103; 1-131
alubbhanā,being_greedy,3,3,3,1,1-104; 1-32; 1-35
alubbhitattaṃ,greediness,3,3,3,1,1-104; 1-32; 1-35
amoho,right_views,7,,15,6,1-16; 1-29; 1-34; 1-37; 1-53
amoho,absence_of_dullness,5,,15,6,1-106; 1-114; 1-131; 1-34; 1-62
amoho,searching_the_Truth,2,,15,6,1-100; 1-79
amoho,best_views,1,,15,6,1-20
amoho,"is,",1,,15,6,1-1
amoho,occasion,1,,15,6,1-106
amoho.,absence_of_dullness.,1,1,1,1,1-103
anabhijjhā,absence_of_covetousness,3,,6,4,1-114; 1-35; 1-62
anabhijjhā,absence_of_greed,3,,6,4,1-104; 1-32; 1-35
anabhijjhā,"is,",1,,6,4,1-1
anabhijjhā,is.,1,,6,4,1-35
anidassanaappaṭighā,neither,1,1,1,1,1-0a-22
anidassanasappaṭighā,invisible_and_reacting,1,1,1,1,1-0a-22
anidassanā,invisible,1,1,1,1,1-0b-9
anikkhittachandatā,state_of_sustained_desire,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
anikkhittadhuratā,state_of_unflinching_endurance,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
aniyatā,are_not_fixed,1,,2,2,1-0b-98
aniyatā,do_not_entail_fixed_consequences,1,,2,2,1-0a-15
aniyyānikā,do_not_lead_onward,1,1,1,1,1-0b-97
anoghaniyā,are_not_so,1,1,1,1,1-0b-33
anoghaniyāpi,or,1,1,1,1,1-0b-37
anottappañca,indiscretion,1,1,1,1,1-0b-115
antavā,Theory_of_finiteness_and,1,1,1,1,1-0b-113
anupekkhanatā,this,2,2,2,1,1-8; 1-85
anuppannā,have_not_arisen,1,1,1,1,1-0a-17
anupādiṇṇaanupādāniyā,neither,1,1,1,1,1-0a-4
anupādiṇṇupādāniyā,not_grasped_at_but_are_favourable_to_grasping,1,1,1,1,1-0a-4
anupādiṇṇā,are_not_grasped_at,1,1,1,1,1-0b-68
anupādāniyā,not_favourable,1,1,1,1,1-0b-70
anupādāniyāpi,or,1,1,1,1,1-0b-74
anussati,recollecting,7,7,7,1,1-14; 1-23; 1-27; 1-52; 1-77
anuttarā,have_no_beyond,1,1,1,1,1-0b-99
anuvicāro,progress,2,2,2,1,1-8; 1-85
anāgatā,future,1,1,1,1,1-0a-18
anāgatārammaṇā,the_future_as_their_object,1,1,1,1,1-0a-19
anārammaṇā,have_not_such,1,1,1,1,1-0b-55
anāsavā,have_not_āsavas,1,1,1,1,1-0b-15
anāsavāpi,not_having_āsavas,1,1,1,1,1-0b-19
anīvaraṇiyā,are_not_so,1,1,1,1,1-0b-45
anīvaraṇiyāpi,or,1,1,1,1,1-0b-49
apacayagāmino,going_to_pulling_down,1,1,1,1,1-0a-10
apariyāpannā,unincluded,1,1,1,1,1-0b-96
aparāmaṭṭhā,unperverted,1,1,1,1,1-0b-51
aparāmaṭṭhāpi,or,1,1,1,1,1-0b-54
apilāpanatā,opposite_of_superficiality,7,7,7,1,1-14; 1-23; 1-27; 1-52; 1-77
appaccayā,not_causally_related,1,1,1,1,1-0b-7
appamāṇā,infinite,1,1,1,1,1-0a-12
appamāṇārammaṇā,neither,1,1,1,1,1-0a-13
appanā,fixing,4,4,4,1,1-21; 1-7; 1-84; 1-91
appaṭighā,not_reactions,1,1,1,1,1-0b-10
appītikā,not_concomitant_with_zest,1,1,1,1,1-0b-89
araṇā,are_harmless,1,1,1,1,1-0b-100
arūpino,incorporeal,4,,7,4,1-114; 1-120; 1-121; 1-62
arūpino,are_immaterial,1,,7,4,1-0b-11
arūpino,causally_induced,1,,7,4,1-58
arūpino,States,1,,7,4,1-1
arūpāvacarā,of_the_formless_universe,1,1,1,1,1-0b-95
arūpīnaṃ,incorporeal,2,2,2,1,1-19; 1-82
asammussanatā,and_of_obliviousness,7,7,7,1,1-14; 1-23; 1-27; 1-52; 1-77
asampajaññañca,unintelligence,1,1,1,1,1-0b-129
asantuṭṭhitā,Discontent_as_to,1,1,1,1,1-0b-140
asaṃkilesikā,are_not_vicious,1,1,1,1,1-0b-76
asaṃkilesikāpi,or,1,1,1,1,1-0b-82
asaṃkiliṭṭhaasaṃkilesikā,neither,1,1,1,1,1-0a-5
asaṃkiliṭṭhasaṃkilesikā,not_vitiated_but_are_vicious,1,1,1,1,1-0a-5
asaṃkiliṭṭhā,are_not_vitiated,1,1,1,1,1-0b-77
asaṃyojaniyā,are_not_so,1,1,1,1,1-0b-21
asaṃyojaniyāpi,or,1,1,1,1,1-0b-25
asaṅkhatā,unconditioned,1,1,1,1,1-0b-8
asekkhā,of_the_adept,1,1,1,1,1-0a-11
asithilaparakkamatā,state_of_unfaltering_effort,7,7,7,1,1-13; 1-22; 1-26; 1-56; 1-76
asārajjanā,feeling_and_being_infatuated,3,3,3,1,1-104; 1-32; 1-35
asārajjitattaṃ,absence_of_covetousness,3,3,3,1,1-104; 1-32; 1-35
asārāgo,absence_of_infatuation,3,3,3,1,1-104; 1-32; 1-35
atapanīyā,that_do_not,1,1,1,1,1-0b-105
attamanatā,transport_of_mind,2,2,2,1,1-86; 1-9
atthi,are,4,,7,4,1-114; 1-120; 1-121; 1-62
atthi,causally_induced,1,,7,4,1-1
atthi,incorporeal,1,,7,4,1-57
atthi,others_also,1,,7,4,1-58
atītā,past,1,1,1,1,1-0a-18
atītārammaṇā,have_the_past_as_their_object,1,1,1,1,1-0a-19
avaṅkatā,twist,2,2,2,1,1-50; 1-51
avaṭṭhiti,absence_of_distraction,10,10,10,1,1-11; 1-15; 1-24; 1-28; 1-54
avicārā,not_having_sustained_thinking,1,1,1,1,1-0b-88
avijjā,Ignorance_and,1,1,1,1,1-0b-110
avijjābhāgino,do_not_partake_of_wisdom,1,1,1,1,1-0b-101
avikkhepo,unperturbed_mental_procedure,10,,11,4,1-11; 1-15; 1-24; 1-28; 1-54
avikkhepo,balance,1,,11,4,1-57
