source_token,source_lemma,target_rendering,block_id
kusalā,kusala-NOM.PL.M,කුශල,1-0a-1
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-1
akusalā,akusala-NOM.PL.M,අකුශල,1-0a-1
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-1
abyākatā,abyākata-NOM.PL.M,අව්‍යාකෘත,1-0a-1
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-1
sukhāya,sukha-INSTR.SG.F,සුඛ,1-0a-2
vedanāya,vedanā-INSTR.SG.F,වේදනා,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,සම්ප්‍රයුක්ත,1-0a-2
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-2
dukkhāya,dukkha-INSTR.SG.F,දුඃඛ,1-0a-2
vedanāya,vedanā-INSTR.SG.F,වේදනා,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,සම්ප්‍රයුක්ත,1-0a-2
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-2
adukkhamasukhāya,adukkhamasukha-INSTR.SG.F,අදුඃඛාසුඛ,1-0a-2
vedanāya,vedanā-INSTR.SG.F,වේදනා,1-0a-2
sampayuttā,sampayutta-NOM.PL.M,සම්ප්‍රයුක්ත,1-0a-2
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-2
vipākā,vipāka-NOM.PL.M,විපාක,1-0a-3
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-3
vipākadhammadhammā,vipāka+dhamma+dhamma-NOM.PL.M,විපාක-ස්වභාවධර්ම,1-0a-3
nevavipākanavipākadhammadhammā,neva+vipāka+na+vipāka+dhamma+dhamma-NOM.PL.M,නො-විපාක-නො-ස්වභාවධර්ම,1-0a-3
upādiṇṇupādāniyā,upādiṇṇupādāniyā,උපාදින්න-උපාදානීය,1-0a-4
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-4
anupādiṇṇupādāniyā,anupādiṇṇupādāniyā,අනුපාදින්න-උපාදානීය,1-0a-4
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-4
anupādiṇṇaanupādāniyā,anupādiṇṇaanupādāniyā,අනුපාදින්න-අනුපාදානීය,1-0a-4
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-4
saṃkiliṭṭhasaṃkilesikā,saṃkiliṭṭhasaṃkilesikā,සඞ්කිලිට්ඨ-සඞ්කිලේසික,1-0a-5
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-5
asaṃkiliṭṭhasaṃkilesikā,asaṃkiliṭṭhasaṃkilesikā,අසඞ්කිලිට්ඨ-සඞ්කිලේසික,1-0a-5
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-5
asaṃkiliṭṭhaasaṃkilesikā,asaṃkiliṭṭhaasaṃkilesikā,අසඞ්කිලිට්ඨ-අසඞ්කිලේසික,1-0a-5
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-5
savitakkasavicārā,sa+vitakka+sa+vicāra-NOM.PL.M,සවිතර්ක-සවිචාර,1-0a-6
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-6
avitakkavicāramattā,a+vitakka+vicāra+matta-NOM.PL.M,අවිතර්ක-විචාරමාත්‍ර,1-0a-6
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-6
avitakkaavicārā,a+vitakka+a+vicāra-NOM.PL.M,අවිතර්ක-අවිචාර,1-0a-6
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-6
pītisahagatā,pīti+sahagata-NOM.PL.M,ප්‍රීතිසහගත,1-0a-7
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-7
sukhasahagatā,sukha+sahagata-NOM.PL.M,සුඛසහගත,1-0a-7
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-7
upekkhāsahagatā,upekkhā+sahagata-NOM.PL.M,උපේක්‍ෂාසහගත,1-0a-7
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-7
dassanena,dassana-INSTR.SG.N,දර්ශන,1-0a-8
pahātabbā,pahātabba-NOM.PL.M,ප්‍රහාතව්‍ය,1-0a-8
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-8
bhāvanāya,bhāvanā-INSTR.SG.F,භාවනා,1-0a-8
pahātabbā,pahātabba-NOM.PL.M,ප්‍රහාතව්‍ය,1-0a-8
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-8
neva,neva-NEG,නො-මැ,1-0a-8
dassanena,dassana-INSTR.SG.N,දර්ශන,1-0a-8
na,na-NEG,නො-ද,1-0a-8
bhāvanāya,bhāvanā-INSTR.SG.F,භාවනා,1-0a-8
pahātabbā,pahātabba-NOM.PL.M,ප්‍රහාතව්‍ය,1-0a-8
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-8
dassanena,dassana-INSTR.SG.N,දර්ශන,1-0a-9
pahātabbahetukā,pahātabba+hetuka-NOM.PL.M,ප්‍රහාතව්‍ය-හේතු,1-0a-9
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-9
bhāvanāya,bhāvanā-INSTR.SG.F,භාවනා,1-0a-9
pahātabbahetukā,pahātabba+hetuka-NOM.PL.M,ප්‍රහාතව්‍ය-හේතු,1-0a-9
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-9
neva,neva-NEG,නො-මැ,1-0a-9
dassanena,dassana-INSTR.SG.N,දර්ශන,1-0a-9
na,na-NEG,නො-ද,1-0a-9
bhāvanāya,bhāvanā-INSTR.SG.F,භාවනා,1-0a-9
pahātabbahetukā,pahātabba+hetuka-NOM.PL.M,ප්‍රහාතව්‍ය-හේතු,1-0a-9
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-9
ācayagāmino,ācayagāmin-NOM.PL.M,ආචයගාමී,1-0a-10
dhammā,dhamma-NOM.PL.M,ධර්ම,1-0a-10
